,Informal Text,Expanded Meaning,Polarity
4478,"my hubby. promised job promotion so we didn`t move, signed a new lease n they withdrew the promotion...",my husband promised job promotion so we did not move signed a new lease and they withdrew the promotion,negative
4479,plus I just deposited tax return cheque but for first time in 7+ years it didn`t clear immediately,plus i just deposited tax return cheque but for first time in or more years it did not clear immediately,negative
4480,LOVE getting gifts in the mail from my very wonderful friends back home!! How I miss Myrtle Beach so much... A little homesick today,love getting gifts in the mail from my very wonderful friends back home how i miss myrtle beach so much a little homesick today,positive
4481,tomorrow is going to be sooo awkward & embarassing. lights & sounds last night was awesome,tomorrow is going to be so awkward embarassing lights sounds last night was awesome,positive
4482,"Still feeling weird about my ex and her engagement. My mom made things worse. I don`t even want her, but it`s still odd",still feeling weird about my ex and her engagement my mom made things worse i do not even want her but it is still odd,neutral
4483,"a band from Hawaii with a Sublime sound, so all you sublime haters can just move along ? http://blip.fm/~5yy4n",a band from hawaii with a sublime sound so all you sublime haters can just move along,positive
4484,Hockey was so fukinÃƒÂ¯Ã‚Â¿Ã‚Â½ good **** you hole! xD,hockey was so fuking good fuck you hole laughing laughing out loud,negative
4485,Shop smart. Shop S Mart.,shop smart shop s mart,positive
4486,"yes, that`s what I meant... I don`t have anything to turn it into Hirigana, though.",yes that is what i meant i do not have anything to turn it into hirigana though,neutral
4487,That is INCREDIBLY sweet!!!! What a good Hubby...,that is incredibly sweet what a good husband,positive
4488,caught tweets on it and got home in time for the last 5 mins of the ITV2 show!! #bgt Out tonight too so will miss it again,caught tweets on it and got home in time for the last mins of the show bgt out tonight too so will miss it again,negative
4489,off to lunch with all the people from aikido,off to lunch with all the people from harmonious spirit,positive
4490,Too bad I can`t come! Enjoy urself tho.,too bad i cannot come enjoy yourself though,negative
4491,Watching ET today! <3 Supposed to have a clip from New Moon Hating Drag Me To Hell,watching et today loving it so much supposed to have a clip from new moon hating drag me to hell,positive
4492,Oh my god. I literally drove in rain that was so hard that i couldn`t see in front of me. I`m shaking,oh my god i literally drove in rain that was so hard that i could not see in front of me i am shaking,negative
4493,me to mi sausage,me to my sausage,positive
4494,"got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo",got a sniffle got the kids and my husband just left to work in sydney for the weekend boohoo exclaimed,negative
4495,"house probably resembling your kind of heaven no? maybe Ciaran`s angels have moved in with you, hence inability to locate!",house probably resembling your kind of heaven no maybe ciarans angels have moved in with you hence inability to locate,neutral
4496,Good to hear... several of my peeps are working tonight...,good to hear several of my peeps are working tonight,positive
4497,I hope so too. How are you?,i hope so too how are you,positive
4498,"Actually, I think I`ll be more upset if I lost my data for Cake Mania 3. I was pretty far into the game",actually i think i will be more upset if i lost my data for cake mania i was pretty far into the game,negative
4499,Boo....Up DLP is sold out for 8:30,brotherup data loss prevention is sold out for,negative
4500,"Just saw Star Trek! It was AMAZING! Seriously, so good. The entire cast was excellent, Spock and Kirk especially. I want to see it again.",just saw star trek it was amazing seriously so good the entire cast was excellent spock and kirk especially i want to see it again,positive
4501,aww but we miss you here in the USA.,amazed but we miss you here in the usa,neutral
4502,Its seriously quiet and lonely here without Bunny,its seriously quiet and lonely here without bunny,negative
4503,ROTC brought a climbing wall to work for coworkers to try and climb if they wanted. I forgot my climbing shoes at home today.,reserve officers training corps brought a climbing wall to work for coworkers to try and climb if they wanted i forgot my climbing shoes at home today,positive
4504,OK. break over. Back to the books. Have fun lovelies! ? http://blip.fm/~5z8da,ok break over back to the books have fun lovelies,neutral
4505,Downing a glass of ginger ale and then relishing an early evening in bed with 'Because I Said So' on Lifetime.,downing a glass of ginger ale and then relishing an early evening in bed with because i said so on lifetime,positive
4506,Watching fireworks off the Bay bridge.,watching fireworks off the bay bridge,positive
4507,_x Yepp. Do you Like Dylan or Cole Better?,yeah do you like dylan or cole better,neutral
4508,still freakin out about missing the game!!! #jonasnewsongs,still freaking out about missing the game jonasnewsongs,negative
4509,"yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here",yeah its still totally in the high here so not looking forward to august and september up here,neutral
4510,Dang I left my Rolando`s dinner leftovers at home! I knew I should have put them in the shop fridge last night before we left downtown!,damn it i left my rolandos dinner leftovers at home i knew i should have put them in the shop fridge last night before we left downtown,negative
4511,no worries,no worries,positive
4512,So sad I`m going to miss seeing Pennywise again this year,so sad i am going to miss seeing pennywise again this year,negative
4513,haha. Thanks Shannon. 3 out of 5 boats got first.,laughing thanks shannon out of boats got first,negative
4514,if you`re watching this...I love you.' I almost died. But now...SHE MEANS NOTHING!,if you are watching thisi love you i almost died but nowshe means nothing exclaimed,positive
4515,woke up an hour early just to study for a test,woke up an hour early just to study for a test,negative
4516,They open at 9 a.m. And I hope to be there shortly after that. No guarantees for me though!,they open at am and i hope to be there shortly after that no guarantees for me though,negative
4517,"Is at work.... boo! The Pin-Ups will be playing at Uncommon Ground Wednesday night at 9 p.m.! (1401 W. Devon Ave., Chicago 60660",is at work brother the pinups will be playing at uncommon ground wednesday night at pm w devon ave chicago,positive
4518,has just got out the shower,has just got out the shower,negative
4519,he`s back! meeting him in 40 mins,he is back meeting him in mins,neutral
4520,Even IE8 would be better,even internet explorer would be better,neutral
4521,"It is, Pinkwind is a thing from Vanessa`s dad. And My sister made me that SN in the 4th grade",it is pinkwind is a thing from vanessas dad and my sister made me that son of a bitch in the grade,positive
4522,I cant change my profile picture on Facebook,i cant change my profile picture on facebook,negative
4523,she lookd soo freaked out!!poor wee thing,she looked so freaked out poor we think,negative
4524,omgoodness FINALLY back from dinner with the fam bam!,oh my goodness finally back from dinner with the fam bam,positive
