Text,Meaning,Sentiment
I`m going to estonia! woohoo!!,I`m going to estonia! woohoo!!,neutral
_stjohn That`s what we hope for!,_stjohn That`s what we hope for!,neutral
I meant looking like a tiger - stupid predictive text,I meant looking like a tiger - stupid predictive text,negative
just finished playing mahjong. I lost $38 to Mag and Weisheng!,just finished playing mahjong. I lost $38 to Mag and Weisheng!,negative
My new site is stuck in the Google sandpit now Test of my skills until it comes back out!,My new site is stuck in the Google sandpit now Test of my skills until it comes back out!,neutral
thanks to and i`m now on twitter!,thanks to and i`m now on twitter!,positive
i`m oh so very bored! buut.. almost 2 days til i leave for france!,i`m oh so very bored! but.. almost 2 days till i leave for france!,negative
to overcome whatever darts the enemy may try and stop you with. We`ve gotta stay focused tweetz! God bless you.,to overcome whatever darts the enemy may try and stop you with. We`ve gotta stay focused tweets! God bless you.,positive
"_kimmeh Me too, I miss it. I, however, will #humpthestump for the rest of my life.","_kimmeh Me too, I miss it. I, however, will #humpthestump for the rest of my life.",negative
can`t help but feel today will be a massive Michael Jackson rumour day. [Cue all the MJ haters...],can`t help but feel today will be a massive Michael Jackson rumour day. [Cue all the MJ haters...],negative
I`ve just about made it all the way round the park jogging. Quite pleased for my 6th outing,I`ve just about made it all the way round the park jogging. Quite pleased for my 6th outing,neutral
ipod died today,ipod died today,negative
is new van a nice one,is new van a nice one,positive
Birthday girl in the house!! Tweet tweet suckas,Birthday girl in the house!! Tweet tweet suckas,negative
My fingers hurt,My fingers hurt,negative
Following new other #sanctuary fans! See the wonders of #SanctuarySunday !!! good to meet you all!,Following new other #sanctuary fans! See the wonders of #SanctuarySunday !!! good to meet you all!,positive
"the old blue G4 is too slow to code on nowadays, I have a laptop I`ve borrowed from work ++ lets me lounge while I browse","the old blue G4 is too slow to code on nowadays, I have a laptop I`ve borrowed from work ++ lets me lounge while I browse",negative
_ess Since T will be away - COME TO TUCSON!!!,_ess Since T will be away - COME TO TUCSON!!!,neutral
Saw the blink show from the tmobile party. I`m speachless,Saw the blink show from the tmobile party. I`m speachless,neutral
Homework. ew fml. Should I pull an all nighter? I think I`m gonna have to again,Homework. Ew gross Fuck my life. Should I pull an all nighter? I think I`m gonna have to again,neutral
"when u go, LMK. Let`s go together","when you go, Let Me Know. Let`s go together",positive
watching my tiny nephew perfect baby,watching my tiny nephew perfect baby,positive
"Happy Mothers Day to all the Moms It`s a tough job, but totally worth it!","Happy Mothers Day to all the Moms It`s a tough job, but totally worth it!",positive
I gave up on tumblr because the API isn`t pointing to the private account,I gave up on tumblr because the API isn`t pointing to the private account,negative
"Oh insomnia, I hate you. I`m bored of staring at my ceiling, cano go sleepnow please?","Oh insomnia, I hate you. I`m bored of staring at my ceiling, can we/you go sleepnow please?",negative
two o`clock please come faster,two o`clock please come faster,neutral
: nooo i don`t know why...i click on TweetDeck_0_25_manual_Blink182.air and it doesn`t run!! so sad...,: no i don`t know why...i click on TweetDeck_0_25_manual_Blink182.air and it doesn`t run!! so sad...,negative
_arcelay http://twitpic.com/4xvw2 - I got chased by a male chihuahua that looked like he was pregnant today He was black and ...,_arcelay http://twitpic.com/4xvw2 - I got chased by a male chihuahua that looked like he was pregnant today He was black and ...,neutral
walked home in the rain.,walked home in the rain.,neutral
ahaha thats okay and thanks,*ahaha* [satisfied & relaxed] thats okay and thanks,positive
and why are u two fighting.,and why are you two fighting.,neutral
"Indeed, twitter is where its at mate, its all happening on here. Enjoy. Hope to see you arou.. http://twurl.nl/j4o1xe","Indeed, twitter is where its at mate, its all happening on here. Enjoy. Hope to see you around.. http://twurl.nl/j4o1xe",positive
"I just want to say: Both you,Taylor Swift, and Hayley Williams have a great and lovely voice!","I just want to say: Both you,Taylor Swift, and Hayley Williams have a great and lovely voice!",positive
Watching h&a! Got new photos for myy room Waiting for Ulise to get home.,Watching h&a! Got new photos for myy room Waiting for Ulise to get home.,neutral
I have been playing skate for two hours. Now i need to get out and actually skate. But it`s too late,I have been playing skate for two hours. Now i need to get out and actually skate. But it`s too late,negative
"If the drive is automatically ejecting supported discs (ie CD-R), and you can`t boot from a disc, it`s time for AppleCare","If the drive is automatically ejecting supported discs (ie CD-R), and you can`t boot from a disc, it`s time for AppleCare",neutral
omfg. one of the worst days ever!,oh my fucking God. one of the worst days ever!,negative
i love the dreambears!.. i want a **** best friend!,i love the dreambears!.. i want a **** best friend!,positive
ROFL - me too.,Rolling On The Floor Laughing - me too.,neutral
_louise bless ya... I know that feeling all too well!,_louise bless you... I know that feeling all too well!,positive
Working during graduation. What a shame.,Working during graduation. What a shame.,negative
"Penguins win in OT, probably why you were busy. One more game to win.","Penguins win in Over Time, probably why you were busy. One more game to win.",neutral
Dang I should have stuck with him in my fantasty picks,Dang I should have stuck with him in my fantasty picks,neutral
"...oh. hahahahahaha but no, seriously, i tell the wait staff they look great all the time, its the easiest nice thing to do","...oh. *hahahahahaha* [mildly laughing & agreeing sense] but no, seriously, i tell the wait staff they look great all the time, its the easiest nice thing to do",positive
subway im going to get subway.... love it! ate it often when i was in new zealand....,subway i am going to get subway.... love it! ate it often when i was in new zealand....,positive
"eh, june 15th are you going to the signing on the 18th, i think it is? x","*eh* [confused], june 15th are you going to the signing on the 18th, i think it is? x",neutral
What are you designing?,What are you designing?,neutral
"or, Green Day: boulevard of broken dream, Hinder: lips of an angel, Howie Day: collide - that was such a nice song","or, Green Day: boulevard of broken dream, Hinder: lips of an angel, Howie Day: collide - that was such a nice song",positive
Watching snl because the love of my life is hosting,Watching snl because the love of my life is hosting,positive
11:11 I made a wish,11:11 I made a wish,neutral
Listening to maylene and wondering why cant I pull off as many cool southern metal licks as them,Listening to maylene and wondering why cant I pull off as many cool southern metal licks as them,negative
poor tony come play scrabble on facebook!,poor tony come play scrabble on facebook!,negative
awe,awesome,neutral
follow me??,follow me??,neutral
"I love these App things, it be hella awesome bro.","I love these App things, it be hella awesome bro.",positive
"Ah! Gotcha. Well, I`m curious to hear what you thought of Wolverine then. (if you actually went and saw it).","Ah! Gotcha. Well, I`m curious to hear what you thought of Wolverine then. (if you actually went and saw it).",positive
I need to buy it for the iPhone. It`s such a good app. Only works on WI-FI though,I need to buy it for the iPhone. It`s such a good app. Only works on WI-FI though,positive
I wanna do something tonight after work.... But I dunno what...,I wanna do something tonight after work.... But I don't know what...,neutral
My car has an alarm & immobiliser so it makes it incredibly complicated AND costly! I have no key code neither for the immobiliser.,My car has an alarm & immobiliser so it makes it incredibly complicated AND costly! I have no key code neither for the immobiliser.,negative
Hello TwitterFon. I`m so glad you`re back,Hello TwitterFon. I`m so glad you`re back,positive
i think you should follow me. as i only have on follower. stalk me please,i think you should follow me. as i only have on follower. stalk me please,positive
fingers crossed for you.,fingers crossed for you.,neutral
: Awesome. Tell me if its good. I might watch it,: Awesome. Tell me if its good. I might watch it,positive
"@ MGM grand, mraz on stage! No doubling back opener. lots of old memories flooding back","@ MGM grand, mraz on stage! No doubling back opener. lots of old memories flooding back",positive
